Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Spatial and Temporal Characteristics and Mechanisms of Marine Heatwaves in the Changjiang River Estuary and Its Surrounding Coastal Regions,"Xie, MH; Ji, QY; Zheng, QD; Meng, ZY; Wang, YT; Gao, ML","Marine heatwave (MHW) events have significant consequences for marine ecosystems and human society. This paper investigates a MHW's spatial-temporal characteristics in the Changjiang River Estuary and its surrounding coastal regions (CRESs), as well as analyzes the drivers, using satellite and reanalysis data spanning from 1982-2021. The findings show that, during the last 40 years, all four of the MHW indicators have increased. The summer MHW is more severe than other seasons, showing a rising pattern from southeast to northwest. The rise of MHWs can be attributed to the increase in sea surface heat flux, weak wind speed, and powerful El Ni & ntilde;o events. Additionally, two special MHW events were detected during the entire study period: Event A lasted for 191 days from 9 October 2006 to 17 April 2007; Event B had an average intensity of 4.93 degrees C from 5 July 1994 to 1 August 1994. For locations so close to each other, the characteristics of MHWs can also vary, and the mechanisms behind them are highly complex.",2024,,JOURNAL OF MARINE SCIENCE AND ENGINEERING,12,4,,WOS:001210184500001,10.3390/jmse12040653,,#365,Xie 2024,"",heatwave; physical drivers; physical impact
"Reduced barnacle larval abundance and settlement in response to large-scale oceanic disturbances: Temporal patterns, nearshore thermal stratification, and potential mechanisms","Pineda, J; Reyns, N; Lentz, SJ","We assessed the effects of large-scale oceanic disturbances on the settlement rate of an abundant intertidal barnacle. Daily or weekly settlement, nearshore temperature, currents, and abundance of early-stage barnacle nauplii and Chthamalus fissus cyprids were measured in La Jolla, California, from the inception of the large-scale warm-water anomaly known as the ""Blob"" in 2014, to 1 yr following the 2015/2016 El Nino. We also measured over 2 yr of weekly settlement rates during the 1997/1998 El Nino in La Jolla and in two Mexican sites. Settlement was low during the Blob and the 2015/2016 El Nino, but increased dramatically after its end, and rates remained high through spring 2017. Barnacle nauplii and C. fissus cyprid abundances were also low during the Blob and El Nino. Nearshore water column thermal stratification and variability of the high-frequency cross-shore currents, a measure of internal wave activity, declined during the Blob and El Nino, but increased at the end of El Nino. Similarly, settlement rates in the Mexican sites were low during the 1997/1998 El Nino. The reduction in settlement during the Blob and El Nino may be related to two factors: a decrease in water column stratification, which can influence internal bore larval transport and the cross-shore distribution of larvae, and also to reduced early-stage larval abundance, potentially related to lower reproductive output or high nauplii mortality during the disturbances.",2018,,LIMNOLOGY AND OCEANOGRAPHY,63,6,2618-2629,WOS:000450233300022,10.1002/lno.10964,,#366,Pineda 2018,"",ecosystem response; heatwave; physical drivers
An emergent treat: Marine heatwaves-Implications for marine decapod crustacean species-An overview,"Monteiro, M; de Castro, SLP; Marques, SC; Freitas, R; Azeiteiro, UM","Anthropogenic-mediated climate change severely affects the oceans. The most common definition of a Marine heatwave (MHW) considers that water temperatures rise above the 90th percentile threshold values, based on the last 30 years' average of temperature records for a particular location, and remains this high for five or more days. The current review addresses the evolution of definitions used, as well as the current understanding of the driving mechanisms of MHWs. The collected information shows that the study of MHW is recent and there is a growing interest among the scientific community on this topic, motivated largely by the impacts that pose to marine ecosystems. Further, a more in-depth analysis was carried out, addressing the impacts of MHW events on marine decapod crustacean species. The investigation of such impacts has been carried out using three main methodological approaches: the analysis of in situ records, observed in 33 studies; simulating MHW events through mesocosm experiments, found in 6 studies; and using computational predictive models, detected in 1 study. From the literature available it has been demonstrated that consequences are serious for these species, from altered expansion ranges to alterations of assemblages' abundances. Still, studies addressing the impacts of these extreme events on the decapod communities are scarce, often only limited to adult life forms of commercially relevant species, neglecting non-commercial ones and meroplanktonic life stages. Despite the severe impacts on the health of ecosystems, repercussions on socioeconomic human activities, like fisheries and aquaculture, are also a reality. Overall, this review aims to raise scientific and public awareness of these marine events, which are projected to increase in intensity and frequency in the coming decades. Therefore, there is a growing need to better understand and predict the mechanisms responsible for these extreme events and the impacts on key species, like decapod crustaceans.",2023,,ENVIRONMENTAL RESEARCH,229,,,WOS:000992796100001,10.1016/j.envres.2023.116004,,#367,Monteiro 2023,"Rob Suryan (2025-10-12 04:34:36)(Select): Informative review, global, references to N. Pacific includes many papers that we have included. No new analyses, so I am uncertain how useful this is for our analyses.; KAREN HUNTER (2025-09-10 03:14:44)(Select): This work summarizes evidence of impacts from MHWs on decapods.  Including; ",GLOBAL; review
Marine bird mass mortality events as an indicator of the impacts of ocean warming,"Jones, T; Parrish, JK; Lindsey, J; Wright, C; Burgess, HK; Dolliver, J; Divine, L; Kaler, R; Bradley, D; Sorenson, G; Torrenta, R; Backensto, S; Coletti, HA; Harvey, JT; Nevins, HM; Donnelly-Greenan, E; Sherer, DL; Roletto, J; Lindquist, K","The frequency and severity of marine heatwaves (MHWs), an emergent property of global warming, has led to large-scale disruptions to marine ecosystems. As upper trophic species, marine birds reflect shifts in trophic structure and stability; therefore, a sharp increase in marine bird mortality is a clear signal of ecosystem impact. In this study, we analyzed 29 yr (1993-2021) of beached bird monitoring data (similar to 90000 surveys) to identify marine bird mortality events throughout the Northeast Pacific and Alaska, USA, and examined linkages to ocean-climate variability. Mortality events were documented throughout the study period, but massive events (>500 km in extent, >10 carcasses km(-1)) occurred infrequently (n = 5), with an unprecedented sequence from 2014-2019. Event characteristics, including encounter rate (carcasses km(-1)), duration, and spatial extent, were positively related to prior-year averaged sea surface temperature anomaly, with event magnitude (product of encounter rate, extent, and duration) displaying a step-like transition, increasing 5-fold between +0 degrees C and +1 degrees C above baseline (1981-2010) temperatures. Mortality events occurred more frequently following MHWs, and a common sequence of mortality events (at 1-6 and 10-16 mo after heatwave onset) was observed in the California Current large marine ecosystem following 3 prolonged MHW events. Following the second wave of mortality at 10-16 mo after MHW onset, a consistent 16 mo period of depressed carcass encounter rates ensued. Given continued global warming, our results point to more frequent large-scale mortality events and the potential for a new lower carrying capacity for marine birds in the Northeast Pacific.",2024,,MARINE ECOLOGY PROGRESS SERIES,737,,161-181,WOS:001249746900006,10.3354/meps14330,,#368,Jones 2024,"",""
Effects of basin-scale climate modes and upwelling on nearshore marine heatwaves and cold spells in the California Current,"Dalsin, M; Walter, RK; Mazzini, PLF","Marine heatwaves and cold spells (MHWs/MCSs) have been observed to be increasing globally in frequency and intensity based on satellite remote sensing and continue to pose a major threat to marine ecosystems worldwide. Despite this, there are limited in-situ based observational studies in the very shallow nearshore region, particularly in Eastern Boundary Current Upwelling Systems (EBUS). We analyzed a unique dataset collected in shallow waters along central California spanning more than four decades (1978-2020) and assessed links with basin-scale climate modes [Pacific Decadal Oscillation (PDO) and El Nino (MEI)] and regional-scale wind-driven upwelling. We found no significant increase/decrease in MHW/MCS frequency, duration, or intensity over the last four decades, but did observe considerable interannual variability linked with basin-scale climate modes. Additionally, there was a decrease in both MHW/MCS occurrence during the upwelling season, and the initiation of individual MHWs/MCSs coincided with anomalous upwelling. Most notably, the co-occurrence of warm (cold) phases of the PDO and MEI with negative (positive) upwelling anomalies strongly enhanced the relative frequency of positive (negative) temperature anomalies and MHW (MCS) days. Collectively, both basin-scale variability and upwelling forcing play a key role in predicting extreme events and shaping nearshore resilience in EBUS.",2023,,SCIENTIFIC REPORTS,13,1,,WOS:001069849000001,10.1038/s41598-023-39193-4,,#370,Dalsin 2023,"",cold spell; heatwave; physical drivers
The 2022 summer marine heatwaves and coral bleaching in China's Greater Bay Area,"Zhao, Y; Chen, MR; Chung, TH; Chan, LL; Qiu, JW","From July to August 2022, scleractinian coral communities in China's Greater Bay Area (GBA) in the northern South China Sea (nSCS) experienced an unprecedented bleaching event, despite the fact that coral communities in this area are often considered coral thermal refugia due to their high latitude distribution. Field surveys of six sites covering three main coral distribution areas of the GBA revealed that coral bleaching occurred at all sites. Bleaching was more severe in shallow water (1-3 m) than in deep water (4-6 m), as indicated by both percent bleached cover (51.80 & PLUSMN; 10.04% vs. 7.09 & PLUSMN; 7.37%) and bleached colonies (45.86 & PLUSMN; 11.22% vs. 6.58 & PLUSMN; 6.53%). Coral genera Acropora, Favites, Montipora, Platygyra, Pocillopora, and Porites showed high susceptibility to bleaching, and Acropora and Pocillopora suffered high post-bleaching mortality. In the three areas surveyed, analysis of oceanographic data detected marine heatwaves (MHWs) during the summer, with mean intensities between 1.62 and 1.97 degrees C and durations between 5 and 22 days. These MHWs were primarily driven by increased shortwave radiation due to strong western Pacific Subtropical High (WPSH), combined with reduced mixing between the surface and deep upwelling waters due to reduced wind speed. Comparing with histological oceanographic data showed that the 2022 MHWs were unprecedented, and there was a significant increase in the frequency, intensity, and total days of MHWs during 1982-2022. Furthermore, the heterogeneous distribution of summer MHW characteristics indicates that the coastal upwelling may modulate the spatial distribution of summer MHWs in nSCS through its cooling effect. Overall, our study indicates that MHWs may have affected the structure of the subtropical coral communities in the nSCS, and impaired their potential as thermal refugia.",2023,,MARINE ENVIRONMENTAL RESEARCH,189,,,WOS:001034576500001,10.1016/j.marenvres.2023.106044,,#373,Zhao 2023,"",ecosystem response; heatwave
Differential response of seabird species to warm- and cold-water events in a heterogeneous cross-shelf environment in the Gulf of Alaska,"Cushing, DA; Kuletz, KJ; Sousa, L; Day, RH; Danielson, SL; Labunski, EA; Hopcroft, RR","We used seabird surveys and concurrent oceanographic observations in the Northern Gulf of Alaska during spring 1998-2019 to evaluate how seabirds responded to temperature variability, including a protracted marine heatwave, in a highly heterogeneous ecosystem. We examined temporally changing distributions of seabirds along the Seward Line, a 220 km transect across the shelf and slope, and evaluated relationships between water-mass properties and seabird abundance. Environmental factors associated with abundance include depth, water-column temperature and salinity, and surface-current velocities. Environmental responses of alcids and gulls contrasted with those of procellariiform (tubenose) seabirds, and their trajectories suggest a possible shift in community composition under future climate warming. Changes in seabird distribution and abundance associated with a shift from cold to warm conditions were especially pronounced over the middle- and outer-shelf domains, which are transitional between coastal and oceanic water masses. The abundance of tubenoses increased during and after the heatwave, whereas alcids and gulls shifted inshore, exhibited reproductive failures, and experienced mass mortalities due to starvation. Tubenoses appear well-adapted to periods of lower productivity during warming events because of their flight efficiency, allowing them to search widely to locate prey patches. In contrast, alcids, which forage by diving and have energetically expensive flight, appear sensitive to such conditions.",2024,,MARINE ECOLOGY PROGRESS SERIES,737,,31-58,WOS:001249746900010,10.3354/meps14239,,#376,Cushing 2024,"",ecosystem response; heatwave
Understanding the impact of environmental variability and fisheries on the red sea urchin population in Baja California,"Medellín-Ortiz, A; Montaño-Moctezuma, G; Alvarez-Flores, C; Santamaría-del-Angel, E; García-Nava, H; Beas-Luna, R; Cavanaugh, K","IntroductionThe red sea urchin fishery is one of the most important fisheries in Baja California and the only urchin fishery in Mexico; yet little is known on understanding how local, regional, and oceanic environmental variability may affect red sea urchin populations. MethodsWe analyzed how food availability, predator abundance and environmental variability could affect red sea urchin populations developing generalized linear models under different temperature conditions: Pre-heat wave, heat wave, and post-heatwave, including sites where sea surface temperature was above, below, and on average. Models included: a) biological variables: Macrocystis pyrifera (kelp) biomass, red sea urchin (Mesocentrotus franciscanus) density, sheephead (Semicossyphus pulcher), kelp bass (Paralabrax clathratus) and spiny lobster (Panulirus interruptus) catches, and b) oceanographic variables: sea surface temperature, wave power, upwelling index, multivariate El Nino index and North Pacific Gyre Oscillation index. ResultsBetween 65 and 82% of the variability observed in red sea urchin populations was explained by different combinations of variables, depending on the thermal condition analyzed. We observed that local environmental variability, such as food availability and predator harvest are highly important factors in determining red sea urchin population changes, compared to regional and oceanic scale variables such as upwelling, El Nino, or the North Pacific Gyre Oscillation. Results show that the relative importance of these variables changed depending on the spatial and temporal scale being analyzed, meaning that under ""normal or average"" conditions one set of variables is important, compared to extreme environmental conditions such as El Nino or ""the Blob"" when a different set of variables explained the observed variability. Urchin predators' catches were correlated with urchin density during the pre-heatwave scenario, suggesting that under ""average temperature"" conditions the effect of fishing on predators, and consequently on urchin density is higher than local temperature, the most important variable during warm conditions. DiscussionThis study suggests that in Baja California, red sea urchin harvest has become the most important red sea urchin population control, so efforts should be encouraged and supported by state and federal agencies to promote more resilient ecosystems in the face of environmental uncertainty. Improving management of the commercial species that inhabit kelp forest, could yield benefits for the entire ecosystem, fishers, and the red sea urchin population in Mexico.",2022,,FRONTIERS IN MARINE SCIENCE,9,,,WOS:000894166200001,10.3389/fmars.2022.987242,,#379,Medellín-Ortiz 2022,"",ecosystem response; heatwave; resource management
Attribution of the unprecedented summer 2022 compound marine and terrestrial heatwave in the Northwest Pacific,"Chen, QJ; Li, DL; Feng, JL; Qi, JF; Zhao, L; Yin, BS","In boreal summer (July-August) 2022, an unprecedented marine heatwave (MHW) occurred in the northwest Pacific Ocean (NWP), while a record-breaking terrestrial heatwave (THW) hit the Yangtze River Basin (YRB). The temperature anomalies caused by this compound MHW-THW event exceeded climatology by 2.5 standard deviations (SDs), breaking the historical record for nearly 100 years, with severe impacts on the ecosystems and social economy. To investigate the underlying causes, we explored the potential roles of anthropogenic forcing, atmospheric circulation, and 'triple-dip' La Ni & ntilde;a on this compound event using the Coupled Model Intercomparison Project Phase 6 (CMIP6) multi-model simulations. Results indicate that the 2022-like compound MHW-THW event was extremely unlikely to happen without anthropogenic warming, and that such extreme heatwaves were governed by the climatic mean temperature rather than changes in temperature variability. Notably, the anticyclone circulation patterns and associated high-pressure systems (i.e. western North Pacific subtropical high (WNPSH) and South Asian high (SAH)) increase the probability of a 2022-like MHW-THW event by 3.7 times. However, the La Ni & ntilde;a phase has no significant effect on the occurrence probability of such events. We further estimate that the 2022-like MHW-THW event will become 7.5 and 11.4 times more likely under the SSP3-7.0 scenario by the middle and end of the 21st century, respectively. This study demonstrates the contribution of anthropogenic climate change and natural variability to the occurrence of compound MHW-THW events and highlights the urgent need to build mitigation strategies for compound MHW-THW events.",2024,,ENVIRONMENTAL RESEARCH LETTERS,19,7,,WOS:001262687800001,10.1088/1748-9326/ad5ab0,,#380,Chen 2024,"",attribution study; heatwave; physical drivers
Planktonic to sessile: drivers of spatial and temporal variability across barnacle life stages and indirect effects of the Pacific Marine Heatwave,"Traiger, SB; Bodkin, JL; Campbell, RW; Coletti, HA; Esler, D; Holderied, K; Iken, K; Konar, B; McKinstry, CAE; Monson, DH; Pretty, JL; Renner, M; Robinson, B; Suryan, RM; Weitzman, BP","Barnacles are a foundation species in intertidal habitats. During the Pacific Marine Heatwave (PMH), intertidal barnacle cover increased in the northern Gulf of Alaska (GoA); however, the role of pelagic larval supply in this increase was unknown. Using long-term monitoring data on intertidal benthic (percent cover) and pelagic larval populations (nauplii and cyprid concentrations), we examined potential environmental drivers (temperature, chlorophyll-a, mixed layer depth) of larval concentration and whether including larval concentration at regional and annual scales improved intertidal barnacle percent cover models in two study regions in the GoA. In both regions, larval concentrations were slightly higher following the PMH. Percent cover models were improved by including cyprid concentrations (but not nauplii), and the effect strength varied by site and tidal elevation. This indicates that larval concentration contributes as a bottom-up driver of benthic barnacle abundance. There is little evidence of a direct effect of the PMH on either life stage. Instead, our results may illustrate the positive feedback between life stages, where higher adult benthic abundance increased larval concentrations, which then supplied more new recruits to the benthos. As heatwaves continue to occur, integrating various data types can provide insights into factors influencing both benthic and pelagic communities.",2024,,JOURNAL OF PLANKTON RESEARCH,,,,WOS:001341039800001,10.1093/plankt/fbae059,,#382,Traiger 2024,"",ecosystem response; heatwave
Depth-Resolved Net Primary Production in the Northeast Pacific Ocean: A Comparison of Satellite and Profiling Float Estimates in the Context of Two Marine Heatwaves,"Long, JS; Fassbender, AJ; Estapa, ML","Methods commonly used to estimate net primary production (NPP) from satellite observations are now being applied to biogeochemical (BGC) profiling float observations. Insights can be gained from regional differences in float and satellite NPP estimates that reveal gaps in our understanding and guide future NPP model development. We use 7 years of BGC profiling float data from the Northeast Pacific Ocean to quantify discrepancies between float and satellite NPP estimates and decompose them into contributions associated with the platform sensing method and depth resolution of observations. We find small, systematic seasonal discrepancies in the depth-integrated NPP (iNPP) but much larger (>+/- 100%) discrepancies in depth-resolved NPP. Annual iNPP estimates from the two platforms are significantly, positively correlated, suggesting that they similarly track interannual variability in the study region. Using the long-term satellite iNPP record, we identify elevated annual iNPP during two recent marine heatwaves and gain insights about ecosystem functionality.",2021,,GEOPHYSICAL RESEARCH LETTERS,48,19,,WOS:000706306000016,10.1029/2021GL093462,,#384,Long 2021,"",ecosystem response; heatwave; physical drivers
Record-low coastal sea levels in the Northeast Pacific during the winter of 2013-2014,"Wang, YQ; Liu, HL; Lin, PF; Yin, JJ","During the winter of 2013-2014, the averaged tide gauge (TG) coastal sea level (CSL) anomaly north of 40 degrees N was a record low of -107 mm for the period of 1948-2016. Statistical analysis indicates that this large drop was a once-in-a-century event and closely related to an unusual ocean warming event known as ""The Blob"". The Blob developed in the NE Pacific during the winter of 2013-2014. Both the Blob and record-low CSL can be attributed to wind changes associated with an unusually high sea level pressure (SLP) pattern over the NE Pacific. The anomalous local longshore winds induced by the positive SLP anomalies caused strong offshore Ekman transport along the coast of NE Pacific, thereby leading to the record-low CSL. In addition, the steric sea level changes also contributed a significant part (17%) to the record-low CSL. The Pacific Decadal Oscillation (PDO), as the primary variability mode in the NE Pacific on decadal time scales, did not contribute to the emergence of this extreme CSL event.",2019,,SCIENTIFIC REPORTS,9,,,WOS:000460508600004,10.1038/s41598-019-40397-w,,#385,Wang 2019,"",heatwave; physical drivers
"Warmer, earlier, faster: Cumulative effects of Gulf of Alaska heatwaves on the early life history of Pacific cod","Almeida, LZ; Laurel, BJ; Thalmann, HL; Miller, JA","Warming climates are creating unprecedented environmental conditions, such as more frequent and intense marine heatwaves (MHWs), that directly impact phenology and growth of fish and other marine organisms. Understanding individual phenological and growth responses to temperature is critical to predict species and population responses to climate change; however, doing so requires disentangling the effects of temperature on phenology, size, and growth in wild populations. We quantified the relationships between temperature and hatch timing, size-at-age, and early growth in a population of Pacific cod (Gadus macrocephalus) affected by recent MHWs in the Gulf of Alaska. Pacific cod juveniles were collected near Kodiak Island, Alaska, USA, across 11 years, categorized as before (2007, 2009-2010, 2012-2014), during (2015, 2016, 2019), and between (2017, 2018) multiple recent MHWs. We estimated age and growth with otolith structural analysis. Hatching occurred on average 14 days earlier during MHWs and 26 days earlier between than before MHWs. Approximately 53% and 16% of these respective shifts in timing were attributable directly to warmer temperatures during incubation. Size-at-age was similar across periods at younger ages (90 days), but approximately 7 mm and 11 mm larger than before MHWs at older ages (132 days) during and between MHWs, respectively. These differences in size-at-age were partially related to growth responses that differed among MHW periods. However, observed differences in growth rate could not account for the observed increases in size-at-age. We found that temperature alone could not explain the changes in growth and phenology; thus, factors such as parental effects, epigenetics, and selection likely contributed. Our results indicate that spawn timing, size, and growth relationships based on historical thermal responses should be questioned in population forecasting as the global climate continues to warm.",2024,,ELEMENTA-SCIENCE OF THE ANTHROPOCENE,12,1,,WOS:001174557200001,10.1525/elementa.2023.00050,,#388,Almeida 2024,"",ecosystem response; heatwave
Lack of strong responses to the Pacific marine heatwave by benthivorous marine birds indicates importance of trophic drivers,"Robinson, B; Coletti, HA; Ballachey, B; Bodkin, JL; Kloecker, K; Traiger, SB; Esler, D","The Pacific marine heatwave (PMH) of 2014-2016 was an intense, long-lasting environmental disturbance expressed throughout the north Pacific. While dramatic consequences of the PMH on pelagic food webs have been well documented, effects on nearshore food webs, i.e. those based on macroalgal primary productivity, benthic invertebrate intermediate consumers, and specialized benthivorous top predators including some marine birds, are not well understood. We conducted summer and winter coastline marine bird surveys in 2 National Parks in the northern Gulf of Alaska from 2006 to 2022. We evaluated changes in abundance of benthivorous marine birds in relation to the PMH, after accounting for effects of season and region. We also evaluated changes in abundance of nearshore benthic invertebrate prey to allow specific consideration of a prey-based mechanism for effects of the PMH across food webs. We found that benthivorous marine birds, consisting of sea ducks and shorebirds, did not show a strong response to the PMH, unlike significant effects demonstrated by piscivorous birds in pelagic biomes. In contrast to extreme reductions in quantity and quality of forage fish documented elsewhere, we found that common benthic invertebrate prey abundance remained relatively stable. Our results support the hypothesis that, across food webs, top predator responses to the PMH were driven primarily by how and whether the PMH affected their prey availability. These findings show how a large-scale environmental perturbation affects biological communities differently through various trophic pathways, which provides insight into ecosystem resiliency and can inform management strategies in the face of persistent climate change.",2024,,MARINE ECOLOGY PROGRESS SERIES,737,,215-226,WOS:001249746900014,10.3354/meps14384,,#389,Robinson 2024,"",ecosystem response; heatwave
Importance of the choice of heat flux parameterization in regional air-sea coupled simulations: Case studies of marine heatwaves induced by atmospheric heatwaves in 1994 and 2018,"Jeong, TB; Bae, HJ; Kim, BM; Yang, SN","This study investigated the marine heat wave events (MHWs) that occurred near the Korean Peninsula during the summer of 1994 and 2018, using a regional air-sea coupled model. We analyzed the fifth-generation reanalysis data, ERA5, published by the European Centre for Medium-Range Weather Forecasts for both events. We found that the North Pacific High and Tibetan High were stronger than usual and were associated with warm and moist air intrusion from the subtropical regions. Air-sea interactions play an important role in the development of MHWs. Warm and moist air combined with low-level inversion and a subsequent sinking motion induced the downward latent heat flux (LHF) toward the relatively colder sea surface, resulting in increased sea surface temperatures (SSTs). To quantify the contribution of the downward LHF and evaluate the importance of the relevant physical parameters of the MHWs, we set up two coupled model experiments, namely, CPL_down and CPL_nodown. Results show that the CPL_down experiment captured the downward LHF well in both events. The model also successfully captured the observed inversion near the surface. The cold SST bias tended to be reduced as the low-level clouds decreased in the area where the downward LHF occurred. In our simulation, permitting downward LHF improved the MHW reproducibility. Therefore, we suggest that the increased downward LHF is favorable for simulating MHWs, and surface physical parameterization must be carefully performed.",2022,,FRONTIERS IN MARINE SCIENCE,9,,,WOS:000890249900001,10.3389/fmars.2022.1032930,,#390,Jeong 2022,"",heatwave; physical drivers
Reduction in overwinter body condition and size of Pacific sand lance has implications for piscivorous predators during marine heatwaves,"Robinson, CLK; Bertram, DF; Shannon, H; von Biela, VR; Greentree, W; Duguid, W; Arimitsu, ML","Acute anomalous ocean warming events, including marine heatwaves (MHWs), have significant effects on reproduction and survival of piscivorous seabirds. Additionally, MHWs have negative effects on seabird fish prey, exacerbating these consequences and resulting in population implications for seabirds. We evaluated the relative body condition of Pacific sand lance Ammodytes personatus, an important seabird forage species, in Haro Strait, a highly productive region of southern British Columbia, Canada. We compared body condition and length of fish cohorts that experienced the 2016 MHW year (MHW cohorts) with fish hatched during 3 subsequent post MHW years (2017-2019). Age-0 MHW cohorts had a seasonal decline in body condition in age-0 fish from 100% in the summer to 81% in the winter, while age-1 fish showed a decline from summer-fall highs of 93.5% to wintertime low of 79.5%. In comparison, post MHW cohorts had a winter body condition that was 2-4 times higher than their MHW cohorts. Similar to previous studies in Alaska during the MHW, age-1 fish failed to grow and reach the typical size that distinguishes them from age-0 fish. Poor sand lance condition and growth in winter may explain the ramifications of a warming ocean for top predators, including seabirds and Pacific salmon, which depend on these prey fish in Haro Strait. Our results support the idea that Haro Strait, which is influenced by estuarine circulation resulting in cooler temperatures than surrounding areas, serves as a climate refugium for sand lance populations in summer and provides buffering capacity to ocean climate warming events.",2024,,MARINE ECOLOGY PROGRESS SERIES,737,,89-99,WOS:001249746900011,10.3354/meps14257,,#395,Robinson 2024,"",ecosystem response; heatwave
Broadening the scope of anthropogenic influence in extreme event attribution,"Jézéquel, A; Bastos, A; Faranda, D; Kimutai, J; Le Grix, N; Wilson, AM; Rufat, S; Shepherd, TG; Stuart-Smith, RF; Van Loon, AF; Bevacqua, E; D'Andrea, F; Lehner, F; Lloyd, EA; Moemken, J; Ramos, AM; Sippel, S; Zscheischler, J","As extreme event attribution (EEA) matures, explaining the impacts of extreme events has risen to be a key focus for attribution scientists. Studies of this type usually assess the contribution of anthropogenic climate change to observed impacts. Other scientific communities have developed tools to assess how human activities influence impacts of extreme weather events on ecosystems and societies. For example, the disaster risk reduction (DRR) community analyses how the structure of human societies affects exposure, vulnerability, and ultimately the impacts of extreme weather events, with less attention to the role of anthropogenic climate change. In this perspective, we argue that adapting current practice in EEA to also consider other causal factors in attribution of extreme weather impacts would provide richer and more comprehensive insight into the causes of disasters. To this end, we propose a framework for EEA that would generate a more complete picture of human influences on impacts and bridge the gap between the EEA and DRR communities. We provide illustrations for five case studies: the 2021-2022 Kenyan drought; the 2013-2015 marine heatwave in the northeast Pacific; the 2017 forest fires in Portugal; Acqua Alta (flooding) events in Venice and evaluation of the efficiency of the Experimental Electromechanical Module, an ensemble of mobile barriers that can be activated to mitigate the influx of seawater in the city; and California droughts and the Forecast Informed Reservoir Operations system as an adaptation strategy.",2024,,ENVIRONMENTAL RESEARCH-CLIMATE,3,4,,WOS:001319224400001,10.1088/2752-5295/ad7527,,#396,Jézéquel 2024,KAREN HUNTER (2025-08-23 08:05:42)(Select): This paper is amazing to me!  I want to use this to guide our 2025 workshop outputs!   I am only including in the screening because it includes a case study about the blob.  The paper is more about risk and disaster attribution and response.; ,""
Perturbations in a pelagic food web during the NE pacific large marine heatwave and persistent harmful diatom blooms,"Ruiz-Cooley, RI; Anderson, C; Kudela, R; Dunkin, R; Field, J","Unprecedented warm ocean conditions, driven by the Large Marine Heatwave (LMH) and the 2015-16 El Nino in the Northeast Pacific favored pervasive toxigenic Pseudo-nitzschia spp. blooms that caused widespread ecological impacts, but little is known about the magnitude to which marine food webs were altered. Here, we assessed the trophic transfer of domoic acid (DA; a neurotoxin) and changes in trophic position from multiple key species during the peak of the LMH and El Nino in 2015 in comparison with 2018, a reference non-anomalous warm year. DA and amino acid nitrogen isotopes (delta 15N AAs) were quantified using liquid and gas chromatography mass spectrometry, respectively. Our integrative approach revealed extremely high levels of DA in anchovy viscera (>3000 mu g/g) with contrasting baseline values (delta 15N Phe) for southern California fish. These results together with data from northern CA revealed an unforeseen latitudinal isotopic variation in key DA vectors along California, possibly driven by anomalous restructuring of water masses. At the regional level, the observed cross-shore differences in baseline isotope values and DA toxicity suggest distinct pathways for DA trophic transfer for nearshore vs. offshore sites. Given the high levels of environmental disturbance during the LMH and persistence of toxigenic P. australis blooms, our resultant higher trophic position proxies in 2015 compared to 2018 were particularly unexpected. Such results highlight complex trophic interactions, where the trophic status of some species increased while others decreased in response to changes in net primary productivity, and biodiversity, and abundance of forage species. Our study demonstrates the use of delta 15N AAs to identify pathways of N and DA trophic transfer and to quantify shifts in animal trophic position, a critical facet of understanding the response of food webs to climate change and DA production.",2024,,HARMFUL ALGAE,140,,,WOS:001364609200001,10.1016/j.hal.2024.102743,,#398,Ruiz-Cooley 2024,"",ecosystem response; heatwave
